  PID TTY          TIME CMD
 1900 ?        00:00:00 gvfsd-metadata
 1915 ?        00:00:00 telepathy-indic
 1923 ?        00:00:01 mission-control
 1940 ?        00:00:00 zeitgeist-datah
 1945 ?        00:00:00 zeitgeist-daemo
 1951 ?        00:00:00 zeitgeist-fts
 1968 ?        00:00:00 cat
 2006 ?        00:00:00 update-notifier
 2025 ?        00:00:23 update-manager
 2149 ?        00:00:00 deja-dup-monito
 2156 ?        00:02:04 gedit
 2160 ?        00:00:00 dbus-launch
 2161 ?        00:00:00 dbus-daemon
 2166 ?        00:00:00 dconf-service
 2168 ?        00:00:00 zeitgeist-daemo
 2175 ?        00:00:00 zeitgeist-datah
 2188 ?        00:00:00 gvfsd
 2192 ?        00:00:00 gvfsd-fuse
 2202 ?        00:00:00 dnsmasq
 2272 ?        00:00:03 notify-osd
 2381 ?        00:01:05 chrome
 2390 ?        00:00:00 cat
 2391 ?        00:00:00 cat
 2395 ?        00:00:00 chrome
 2396 ?        00:00:00 nacl_helper
 2399 ?        00:00:00 chrome
 2455 ?        00:00:33 chrome
 2457 ?        00:00:00 chrome
 2669 ?        00:00:00 system-service-
 2766 ?        00:00:15 chrome
 2827 ?        00:00:06 chrome
 2848 ?        00:00:11 chrome
 3243 ?        00:00:00 kdeinit4
 3244 ?        00:00:00 klauncher
 3247 ?        00:00:00 kded4
 3254 ?        00:00:02 knotify4
 3258 ?        00:00:06 notify-osd
 3292 ?        00:00:00 gnome-screensav
 3433 ?        00:00:10 gnome-terminal-
 3443 ?        00:00:00 gnome-pty-helpe
 3444 pts/7    00:00:00 bash
 3501 pts/7    00:00:00 sudo
 3502 pts/7    00:00:00 bash
 3512 pts/7    00:00:00 bash
 3514 pts/7    00:00:00 find
 3799 ?        00:00:00 cupsd
 3801 ?        00:00:00 dbus
 4632 ?        00:00:00 kworker/0:2
 4648 ?        00:00:00 kworker/3:2
 5040 ?        00:00:05 chrome
 5497 ?        00:00:00 kworker/0:1
 5638 ?        00:00:00 kworker/2:3
 5639 ?        00:00:00 kworker/3:0
 5650 ?        00:00:00 kworker/1:0
 6041 ?        00:00:00 irq/27-mei_me
 6046 ?        00:00:00 kworker/1:1
 6049 ?        00:00:00 kworker/2:1
 6055 ?        00:00:00 kworker/u17:0
 6056 ?        00:00:00 hci0
 6057 ?        00:00:00 hci0
 6059 ?        00:00:00 kworker/u17:2
 6104 ?        00:00:00 dnsmasq
 6364 ?        00:00:06 chrome
 6404 ?        00:00:00 chrome
 6442 ?        00:00:00 kworker/u16:1
 6460 ?        00:00:00 kworker/u16:0
 6481 ?        00:00:00 kworker/u16:2
 6486 pts/7    00:00:00 ps
